game_id,home_team,away_team,goalie_name,opening_line,goalieTeam
12089,ANA,SJ,Mackenzie Blackwood,28.5,SJ
12090,EDM,NYI,Stuart Skinner,25.5,EDM
12090,EDM,NYI,Ilya Sorokin,30.5,NYI
12091,SEA,COL,Joey Daccord,27.5,SEA
12091,SEA,COL,Alexandar Georgiev,25.5,COL
12092,CBJ,PIT,Tristan Jarry,26.5,PIT
12092,CBJ,PIT,Elvis Merzlikins,29.5,CBJ
12093,BUF,BOS,Linus Ullmark,27.5,BOS
12093,BUF,BOS,Devon Levi,27.5,BUF
12094,MTL,CGY,Jacob Markstrom,25.5,CGY
12094,MTL,CGY,Sam Montembeault,28.5,MTL
12095,WSH,VGK,Charlie Lindgren,27.5,WSH
12095,WSH,VGK,Logan Thompson,26.5,VGK
12096,NSH,ANA,Juuse Saros,25.5,NSH
12096,NSH,ANA,John Gibson,28.5,ANA
12097,DAL,ARI,Karel Vejmelka,28.5,ARI
12097,DAL,ARI,Jake Oettinger,25.5,DAL
12098,WPG,NJ,Connor Hellebuyck,25.5,WPG
12098,WPG,NJ,Akira Schmid,28.5,NJ
12099,STL,TB,Jonas Johansson,27.5,TB
12099,STL,TB,Jordan Binnington,27.5,STL
12100,SJ,FLA,Anthony Stolarz,25.5,FLA
12100,SJ,FLA,Mackenzie Blackwood,31.5,SJ
12101,CAR,PHI,Pyotr Kochetkov,24.5,CAR
12101,CAR,PHI,Carter Hart,29.5,PHI
12102,EDM,SEA,Joey Daccord,29.5,SEA
12102,EDM,SEA,Stuart Skinner,24.5,EDM
12103,COL,ANA,Alexandar Georgiev,24.5,COL
12103,COL,ANA,Lukas Dostal,31.5,ANA
12104,VAN,NYI,Thatcher Demko,27.5,VAN
12104,VAN,NYI,Ilya Sorokin,28.5,NYI
12105,OTT,DET,James Reimer,28.5,DET
12105,OTT,DET,Joonas Korpisalo,27.5,OTT
12106,PIT,NJ,Vitek Vanecek,28.5,NJ
12106,PIT,NJ,Tristan Jarry,26.5,PIT
12107,MTL,VGK,Adin Hill,26.5,VGK
12107,MTL,VGK,Cayden Primeau,27.5,MTL
12108,CBJ,ARI,Connor Ingram,28.5,ARI
12108,CBJ,ARI,Elvis Merzlikins,26.5,CBJ
12109,CHI,TB,Petr Mrazek,29.5,CHI
12109,CHI,TB,Jonas Johansson,25.5,TB
12110,CGY,VAN,Jacob Markstrom,25.5,CGY
12110,CGY,VAN,Casey DeSmith,28.5,VAN
12111,SEA,NYI,Semyon Varlamov,27.5,NYI
12112,SJ,STL,Joel Hofer,26.5,STL
12112,SJ,STL,Kaapo Kahkonen,28.5,SJ
12113,LA,FLA,Cam Talbot,26.5,LA
12113,LA,FLA,Sergei Bobrovsky,27.5,FLA
12114,DET,TOR,Ilya Samsonov,26.5,TOR
12114,DET,TOR,Alex Lyon,28.5,DET
12115,WPG,BUF,Eric Comrie,29.5,BUF
12115,WPG,BUF,Connor Hellebuyck,25.5,WPG
12116,ANA,FLA,John Gibson,29.5,ANA
12116,ANA,FLA,Anthony Stolarz,25.5,FLA
12117,OTT,MIN,Anton Forsberg,26.5,OTT
12117,OTT,MIN,Filip Gustavsson,29.5,MIN
12118,PHI,VGK,Logan Thompson,27.5,VGK
12118,PHI,VGK,Carter Hart,26.5,PHI
12119,NSH,CHI,Arvid Soderblom,28.5,CHI
12120,TB,EDM,Stuart Skinner,26.5,EDM
12121,CAR,PIT,Antti Raanta,25.5,CAR
12121,CAR,PIT,Tristan Jarry,29.5,PIT
12122,NJ,NYR,Igor Shesterkin,26.5,NYR
12123,BOS,MTL,Jake Allen,29.5,MTL
12124,CGY,NYI,Ilya Sorokin,29.5,NYI
12125,WPG,ARI,Laurent Brossoit,24.5,WPG
12125,WPG,ARI,Karel Vejmelka,28.5,ARI
12126,WSH,CBJ,Elvis Merzlikins,27.5,CBJ
12126,WSH,CBJ,Charlie Lindgren,27.5,WSH
12127,DAL,COL,Jake Oettinger,27.5,DAL
12127,DAL,COL,Alexandar Georgiev,26.5,COL
12128,VAN,SEA,Philipp Grubauer,25.5,SEA
12128,VAN,SEA,Thatcher Demko,26.5,VAN
12129,LA,STL,Jordan Binnington,29.5,STL
12129,LA,STL,Cam Talbot,25.5,LA
12131,PHI,CBJ,Samuel Ersson,26.5,PHI
12131,PHI,CBJ,Spencer Martin,27.5,CBJ
