game_id,home_team,away_team,home_shots_on_goal,away_shots_on_goal,corsi_home,corsi_away,fenwick_home,fenwick_away,corsi_home_%,corsi_away_%,fenwick_home_%,fenwick_away_%
2023021057,WPG,ANA,38,21,72,44,56,33,0.6206896551724138,0.3793103448275862,0.6292134831460674,0.3707865168539326
2023021058,CHI,LAK,28,37,55,68,36,53,0.44715447154471544,0.5528455284552846,0.4044943820224719,0.5955056179775281
2023021059,DET,BUF,26,26,53,54,40,40,0.4953271028037383,0.5046728971962616,0.5,0.5
2023021060,NYI,OTT,33,30,63,62,39,44,0.504,0.496,0.46987951807228917,0.5301204819277109
2023021061,PIT,NYR,37,28,74,55,55,45,0.5736434108527132,0.4263565891472868,0.55,0.45
2023021062,ARI,NJD,32,38,56,76,40,53,0.42424242424242425,0.5757575757575758,0.43010752688172044,0.5698924731182796
2023021063,FLA,TBL,50,16,80,37,63,27,0.6837606837606838,0.3162393162393162,0.7,0.3
2023021064,BOS,PHI,30,29,59,61,42,38,0.49166666666666664,0.5083333333333333,0.525,0.475
2023021065,CBJ,SJS,20,41,48,74,29,52,0.39344262295081966,0.6065573770491803,0.35802469135802467,0.6419753086419753
2023021066,CGY,MTL,28,38,52,76,33,54,0.40625,0.59375,0.3793103448275862,0.6206896551724138
2023021067,TOR,CAR,43,42,76,78,61,61,0.4935064935064935,0.5064935064935064,0.5,0.5
2023021068,DAL,LAK,29,28,49,55,36,37,0.47115384615384615,0.5288461538461539,0.4931506849315068,0.5068493150684932
2023021069,STL,MIN,39,26,72,67,55,35,0.5179856115107914,0.48201438848920863,0.6111111111111112,0.3888888888888889
2023021070,EDM,COL,34,43,63,85,45,58,0.42567567567567566,0.5743243243243243,0.4368932038834951,0.5631067961165048
2023021071,SEA,NSH,24,30,59,59,41,45,0.5,0.5,0.47674418604651164,0.5232558139534884
2023021072,VAN,WSH,22,24,70,45,43,34,0.6086956521739131,0.391304347826087,0.5584415584415584,0.44155844155844154
2023021073,NYR,NYI,31,27,71,56,49,42,0.5590551181102362,0.4409448818897638,0.5384615384615384,0.46153846153846156
2023021074,VGK,NJD,37,21,64,56,48,34,0.5333333333333333,0.4666666666666667,0.5853658536585366,0.4146341463414634
2023021075,CBJ,WPG,31,27,66,46,43,34,0.5892857142857143,0.4107142857142857,0.5584415584415584,0.44155844155844154
2023021076,CHI,SJS,31,27,58,64,46,42,0.47540983606557374,0.5245901639344263,0.5227272727272727,0.4772727272727273
2023021077,OTT,CAR,32,38,56,72,45,56,0.4375,0.5625,0.44554455445544555,0.5544554455445545
2023021078,PIT,DET,38,28,75,63,58,42,0.5434782608695652,0.45652173913043476,0.58,0.42
2023021079,STL,ANA,27,28,59,54,40,40,0.5221238938053098,0.4778761061946903,0.5,0.5
2023021080,CGY,WSH,36,33,79,66,53,40,0.5448275862068965,0.45517241379310347,0.5698924731182796,0.43010752688172044
2023021081,SEA,BUF,34,30,70,56,47,46,0.5555555555555556,0.4444444444444444,0.5053763440860215,0.4946236559139785
2023021082,BOS,OTT,26,31,52,63,37,47,0.45217391304347826,0.5478260869565217,0.44047619047619047,0.5595238095238095
2023021083,DET,CBJ,26,35,54,64,37,48,0.4576271186440678,0.5423728813559322,0.43529411764705883,0.5647058823529412
2023021084,NJD,PIT,38,38,75,64,58,44,0.539568345323741,0.460431654676259,0.5686274509803921,0.43137254901960786
